Month and Year,Transaction Type,Total Amount
01-2024,Deposit,669
01-2024,Interest,226
01-2024,Purchase,281
01-2024,Withdrawal,254
01-2025,Deposit,242
01-2025,Interest,412
01-2025,Purchase,543
01-2025,Withdrawal,273
01-2026,Deposit,164
01-2026,Interest,364
01-2026,Purchase,313
01-2026,Withdrawal,682
02-2024,Deposit,340
02-2024,Interest,312
02-2024,Purchase,436
02-2024,Withdrawal,346
02-2025,Deposit,321
02-2025,Interest,307
02-2025,Purchase,250
02-2025,Withdrawal,402
02-2026,Deposit,494
02-2026,Interest,212
02-2026,Purchase,291
02-2026,Withdrawal,215
03-2024,Deposit,384
03-2024,Interest,536
03-2024,Purchase,267
03-2024,Withdrawal,271
03-2025,Deposit,404
03-2025,Interest,304
03-2025,Purchase,351
03-2025,Withdrawal,449
03-2026,Deposit,408
03-2026,Interest,138
03-2026,Purchase,444
03-2026,Withdrawal,216
04-2024,Deposit,317
04-2024,Interest,338
04-2024,Purchase,401
04-2024,Withdrawal,440
04-2025,Deposit,444
04-2025,Interest,641
04-2025,Purchase,141
04-2025,Withdrawal,225
04-2026,Deposit,171
04-2026,Interest,333
04-2026,Purchase,383
04-2026,Withdrawal,437
05-2024,Deposit,242
05-2024,Interest,388
05-2024,Purchase,467
05-2024,Withdrawal,579
05-2025,Deposit,560
05-2025,Interest,91
05-2025,Purchase,553
05-2025,Withdrawal,333
05-2026,Deposit,250
05-2026,Interest,355
05-2026,Purchase,357
05-2026,Withdrawal,369
06-2024,Deposit,426
06-2024,Interest,356
06-2024,Purchase,313
06-2024,Withdrawal,235
06-2025,Deposit,338
06-2025,Interest,454
06-2025,Purchase,371
06-2025,Withdrawal,148
06-2026,Deposit,531
06-2026,Interest,373
06-2026,Purchase,471
06-2026,Withdrawal,290
07-2024,Deposit,443
07-2024,Interest,410
07-2024,Purchase,357
07-2024,Withdrawal,281
07-2025,Deposit,213
07-2025,Interest,492
07-2025,Purchase,272
07-2025,Withdrawal,640
07-2026,Deposit,232
07-2026,Interest,654
07-2026,Purchase,400
07-2026,Withdrawal,204
08-2024,Deposit,485
08-2024,Interest,189
08-2024,Purchase,744
08-2024,Withdrawal,372
08-2025,Deposit,365
08-2025,Interest,364
08-2025,Purchase,392
08-2025,Withdrawal,544
08-2026,Deposit,535
08-2026,Interest,285
08-2026,Purchase,366
08-2026,Withdrawal,437
09-2024,Deposit,146
09-2024,Interest,441
09-2024,Purchase,310
09-2024,Withdrawal,278
09-2025,Deposit,231
09-2025,Interest,364
09-2025,Purchase,283
09-2025,Withdrawal,529
09-2026,Deposit,94
09-2026,Interest,521
09-2026,Purchase,262
09-2026,Withdrawal,347
10-2024,Deposit,350
10-2024,Interest,466
10-2024,Purchase,316
10-2024,Withdrawal,384
10-2025,Deposit,518
10-2025,Interest,248
10-2025,Purchase,409
10-2025,Withdrawal,354
11-2024,Deposit,324
11-2024,Interest,194
11-2024,Purchase,512
11-2024,Withdrawal,348
11-2025,Deposit,451
11-2025,Interest,364
11-2025,Purchase,330
11-2025,Withdrawal,251
12-2024,Deposit,341
12-2024,Interest,599
12-2024,Purchase,421
12-2024,Withdrawal,264
12-2025,Deposit,244
12-2025,Interest,306
12-2025,Purchase,324
12-2025,Withdrawal,503
